t,p,p_d,v,v_d,q,R,w,fa,pwm
0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.0, 4.1887902047863905, 0.0]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[49.52272205765753, 49.52272205765753, 49.52272205765753, 49.52272205765753]"
0.005,"[1.0, 0.0, 0.0]","[0.9999451693655121, 0.02094241988335696, 0.0]","[0.0, 0.0, 0.0]","[-0.021932053366384045, 4.187871533874076, 0.0]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[49.579111573688145, 67.72694082069883, 49.46626825993429, 17.83427842862053]"
0.01,"[1.0, 0.0, 0.0]","[0.9997806834748455, 0.04187565372919963, 0.0]","[0.0, 0.0, 0.0]","[-0.043861701635964694, 4.185115924096555, 0.0]","[1.0, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[-0.42688770258608816, -0.0011176608872435281, -1.0231815394945443e-18]","[0.0, 0.0, 0.0]","[49.69157736839286, 67.70390035963709, 49.35328903569676, 17.921547815195353]"
0.015,"[1.0, 0.0, 0.0]","[0.9995065603657316, 0.06279051952931336, 0.0]","[0.0, 0.0, 0.0]","[-0.06578653997568448, 4.180524584155351, 0.0]","[0.999999430518112, -0.0010672186487031834, -2.79415062688974e-06, -2.5579523920279734e-21]","[[0.9999999999843854, 5.963939312609961e-09, -5.588298071343133e-06], [5.963939312599729e-09, 0.9999977220887117, 0.0021344360818829856], [5.588298071343133e-06, -0.0021344360818829856, 0.9999977220730971]]","[-0.8531513273676216, -0.0044682331590383, -2.8421709430404013e-18]","[0.0, 0.0, 0.0]","[49.796641939771106, 66.06843191185722, 49.24489686636789, 23.270470417851527]"
0.02,"[1.0, 0.0, 0.0]","[0.9991228300988584, 0.0836778433323155, 0.0]","[-2.7414284461852197e-07, 0.0001047081547321933, 6.477775758941817e-06]","[-0.08770416407994905, 4.174099527963907, 0.0]","[0.9999948796062657, -0.0032000884734221745, -1.3964695398319578e-05, 5.961857533591207e-09]","[[0.9999999996099748, 7.745286754496183e-08, -2.7929285944104664e-05], [1.0130017557109483e-07, 0.9999795188675247, 0.006400144175251901], [2.792920963021837e-05, -0.0064001441755849224, 0.9999795184774993]]","[-1.2355036175499825, -0.009932801268894401, -3.5741458056744485e-06]","[0.0, 0.0, 0.0]","[49.885748296343, 64.30238786496359, 49.14473547126256, 27.86563031988718]"
0.025,"[0.9999999986292858, 5.235407736609665e-07, 3.238887879470909e-08]","[0.9986295347545738, 0.10452846326765346, 0.0]","[-1.6447841912810507e-06, 0.00041879789726115583, 3.0889365943433943e-05]","[-0.10961217043428613, 4.165843573764219, 0.0]","[0.999980224538469, -0.006288801700550634, -3.879643335072499e-05, 3.3357407556974845e-08]","[[0.9999999969896713, 4.2125265626498737e-07, -7.759175182294217e-05], [5.546796478603671e-07, 0.9999209019463402, 0.01257735467060076], [7.75909127104567e-05, -0.012577354675777355, 0.9999208989360159]]","[-1.5713339907511426, -0.01727108712346608, -1.856920707441816e-05]","[0.0, 0.0, 0.0]","[49.95625289649924, 62.57569827589246, 49.050348981966145, 31.697446429475768]"
0.030000000000000002,"[0.9999999904053648, 2.617530259966746e-06, 1.868357085118788e-07]","[0.9980267284282716, 0.12533323356430426, 0.0]","[-5.455319027558459e-06, 0.0010364724180002244, 8.70550265943315e-05]","[-0.1315081565789182, 4.155760342890661, 0.0]","[0.9999478019362192, -0.010216980147053016, -8.197308771355426e-05, 1.060652084937095e-07]","[[0.9999999865608032, 1.4629154753336555e-06, -0.0001639397850864459], [1.887154163714422e-06, 0.9997912266333269, 0.02043289366355432], [0.000163935450421928, -0.020432893698332292, 0.9997912131941752]]","[-1.862432981207747, -0.026240133944098173, -5.6333579381138976e-05]","[0.0, 0.0, 0.0]","[50.00654356615198, 60.91803206292745, 48.9589159806394, 34.98347034417548]"
0.035,"[0.9999999631287697, 7.799892349967867e-06, 6.221108414835364e-07]","[0.9973144772244581, 0.14608302856241162, 0.0]","[-1.3514992056551369e-05, 0.002041002476872702, 0.00018918897233660914]","[-0.15338972137221918, 4.1438542581815465, 0.0]","[0.9998893850111892, -0.014872658299001834, -0.00014757033120422743, 2.537997232780841e-07]","[[0.9999999564458658, 3.881982923692938e-06, -0.0002951155647805063], [4.897069520591072e-06, 0.9995576080701134, 0.029742026245234386], [0.00029510046607426356, -0.029742026395047624, 0.9995575645162369]]","[-2.111149324517552, -0.036608028487513, -0.00013077352799893617]","[0.0, 0.0, 0.0]","[50.03564086476676, 59.34266525950852, 48.868002775446925, 37.86040210446193]"
0.04,"[0.9999998955538094, 1.8004904734331377e-05, 1.568055703166582e-06]","[0.9964928592495044, 0.16676874671610228, 0.0]","[-2.8044429966545174e-05, 0.003505292996313592, 0.00035045162432465913]","[-0.17525446525402666, 4.130130542039129, 0.0]","[0.9997969462639693, -0.020149667000468482, -0.0002390831499073135, 5.091842072101387e-07]","[[0.9999998856779763, 8.616730081201834e-06, -0.00047808972614544], [1.0653053343019981e-05, 0.9991879818390219, 0.0402911508271338], [0.0004780486865765713, -0.04029115131408325, 0.9991878675180353]]","[-2.3199635117766055, -0.04815639463619591, -0.0002574033592081747]","[0.0, 0.0, 0.0]","[50.04317946909521, 57.859556142776334, 48.77570259404897, 40.41272736605103]"
0.045,"[0.9999997553316596, 3.553136971589934e-05, 3.3203138247898777e-06]","[0.99556196460308, 0.18738131458572463, 0.0]","[-5.162454612804423e-05, 0.005492514149221764, 0.0005819247343916611]","[-0.19709999050878071, 4.114595214138885, 0.0]","[0.9996632303404224, -0.02594796125625384, -0.00035945956188623927, 9.049690779348892e-07]","[[0.9999997415760088, 1.684515694641506e-05, -0.0007187239778290466], [2.0463814193641402e-05, 0.9986534066116499, 0.0518784448897501], [0.0007186300494187571, -0.05187844619094925, 0.9986531481909346]]","[-2.491417482164237, -0.06068145941949155, -0.00045245894977351145]","[0.0, 0.0, 0.0]","[50.02936679551719, 56.47654854675848, 48.680646638600955, 42.69629437302975]"
